자치구별,지체,시각,청각,지적,정서,특수학교수,특수학급수,학생수,합계,비율
송파구,94,16,19,265,280,2,36,216,674,0.32047477744807124
노원구,93,19,24,332,181,2,87,419,649,0.6456086286594761
강남구,96,19,26,184,280,2,57,351,605,0.5801652892561984
강동구,107,8,20,269,197,2,59,350,601,0.5823627287853578
은평구,87,14,16,284,173,1,37,231,574,0.4024390243902439
강서구,82,14,24,256,168,2,48,280,544,0.5147058823529411
양천구,72,13,26,207,157,0,0,0,475,0.0
성북구,67,12,19,219,144,1,17,97,461,0.210412147505423
구로구,53,6,17,218,142,2,82,443,436,1.0160550458715596
서초구,60,7,24,162,170,2,64,309,423,0.7304964539007093
관악구,33,8,23,209,104,2,51,266,377,0.7055702917771883
강북구,32,45,25,161,77,4,85,412,340,1.2117647058823529
중랑구,40,6,10,177,103,0,0,0,336,0.0
동작구,47,10,38,144,96,2,28,119,335,0.35522388059701493
도봉구,40,7,14,177,92,1,25,130,330,0.3939393939393939
서대문구,57,13,15,148,91,1,21,103,324,0.31790123456790126
마포구,48,11,9,133,119,1,39,190,320,0.59375
영등포구,31,11,7,153,99,0,0,0,301,0.0
동대문구,48,11,10,129,75,0,0,0,273,0.0
광진구,34,5,8,111,89,1,25,142,247,0.5748987854251012
금천구,27,7,7,134,66,0,0,0,241,0.0
성동구,25,7,7,99,89,0,0,0,227,0.0
용산구,18,3,3,80,66,0,0,0,170,0.0
종로구,26,8,10,49,43,4,98,452,136,3.323529411764706
중구,9,4,2,28,23,0,0,0,66,0.0
