연번,시도,시군구,시설유형,법인현황,시설명,시설 주소,전화번호,팩스번호,종사자정원,종사자 현원,엑스(X)좌표,와이(Y)좌표
1,서울,강남구,복지관,사복)사회복지법인 대한불교조계종 봉은,강남장애인복지관,강남구 개포로 605,02-445-8006,,30,30,127.0734721,37.49198251
2,서울,강남구,복지관,사복)밀알복지재단,강남세움복지관,강남구 광평로60길 22 ,02-2184-8700,02-2184-8719,47,47,127.1194316,37.47058179
3,서울,강남구,복지관,사복)자애종합복지원,성모자애복지관,강남구 헌릉로757길 35,02-3411-9581,02-3411-9584,37,46,127.0423671,37.50937751
4,서울,강남구,복지관,사복)한국청각장애인복지회,청음복지관,강남구 봉은사로50길 6,02-556-3493,02-555-4241,37,34,127.0370671,37.50370289
5,서울,강남구,복지관,충현복지재단,충현복지관,강남구 논현로98길 16,02-2192-0600,02-2192-0696,42,57,127.0751274,37.49255412
6,서울,강남구,복지관,사복)하상복지재단,하상장애인복지관,강남구 개포로 613,02-451-6000,02-459-4377,35,35,127.1485442,37.5562064
7,서울,강동구,복지관,푸르메,서울장애인종합복지관,강동구 고덕로 201,02-440-5700,02-440-5780,91,90,127.3490545,37.31603442
8,서울,강동구,복지관,재단법인부산성베네딕도수녀회성분도복지관,성분도복지관,경기 광주시 도척면 국사봉로 159-10,031-799-0300,031-799-0370,30,32,127.1732658,37.56622133
9,서울,강동구,복지관,한국시각장애인복지재단,한국시각장애인복지관,강동구 구천면로 645,02-440-5200,02-440-5219,41,40,127.169245,37.55110948
10,서울,강동구,복지관,사)홀트아동복지회,홀트강동장애인복지관,강동구 아리수로 93길 41,02-2251-6100,02-2251-6138,31,31,127.0390723,37.62875737
11,서울,강북구,복지관,사복)대한불교조계종사회복지재단,강북장애인복지관,강북구 오현로 189,02-989-4215,02-989-4219,40,40,126.8125776,37.57420432
12,서울,강서구,복지관,사단법인)한국뇌성마비복지회,강서뇌성마비복지관,강서구 방화대로45길69,02-2662-3491,02-2662-2700,43,42,126.8486738,37.56938957
13,서울,강서구,복지관,사복)기쁜우리월드,기쁜우리복지관,강서구 허준로65,02-3665-3831,02-3665-3292,36,36,126.8510978,37.56854816
14,서울,강서구,복지관,사복)성요한복지회,늘푸른나무복지관,강서구 허준로 5길 37,02-3661-3401,02-3661-3764,32,34,126.9410996,37.48294247
