"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3220000","3220000-102-2000-21430","2000-03-18","","01","영업/정상","01","영업","","","","","","473.85","135-917","서울특별시 강남구 역삼동 688-6 지하1층","서울특별시 강남구 언주로 548, 지하1층 (역삼동)","06144","오스카","2025-03-04 12:55:50","U","2024-12-03 00:06:00.0","룸살롱","203516.591236107","444995.018910157","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-102-2015-00001","2015-03-31","","01","영업/정상","01","영업","","","","","","114.79","138-803","서울특별시 송파구 가락동 79-4 세화빌딩","서울특별시 송파구 송파대로28길 20, 2층 201호 (가락동)","05718","마우이(maui)","2025-05-21 17:15:11","U","2024-12-04 22:03:00.0","룸살롱","210562.900849903","443555.864703206","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-2001-23481","2001-05-12","","01","영업/정상","01","영업","","","","","02 567 7488","1233.83","135-839","서울특별시 강남구 대치동 890-38 지하1층","서울특별시 강남구 테헤란로70길 16 (대치동,지하1층)","06193","엘리트(ELITE)","2025-05-07 17:51:53","U","2024-12-05 00:09:00.0","룸살롱","204647.421249695","444687.506114255","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-102-2014-00005","2014-11-28","","01","영업/정상","01","영업","","","","","","99.76","138-805","서울특별시 송파구 가락동 99-1 지하1층","서울특별시 송파구 송파대로28길 12, 지하1층 (가락동)","05719","루키","2025-03-10 09:30:18","U","2024-12-02 23:02:00.0","룸살롱","210491.688890281","443508.221246366","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-2015-00003","2015-10-22","","01","영업/정상","01","영업","","","","","0226993777","121.44","157-909","서울특별시 강서구 화곡동 903-10 2층","서울특별시 강서구 곰달래로24길 27, 2층 (화곡동)","07778","승리노래바","2025-03-11 08:58:11","U","2024-12-02 23:04:00.0","룸살롱","186437.390021875","447472.670706556","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-2015-00004","2015-10-22","","01","영업/정상","01","영업","","","","","","121.44","157-909","서울특별시 강서구 화곡동 903-10 3층","서울특별시 강서구 곰달래로24길 27, 3층 (화곡동)","07778","수노래바","2025-04-30 09:12:23","U","2024-12-05 00:02:00.0","룸살롱","186437.390021875","447472.670706556","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-2009-00002","2009-08-05","","01","영업/정상","01","영업","","","","","07081810041","86.80","157-909","서울특별시 강서구 화곡동 898-1 화곡 심포니 타워 2층 203호","서울특별시 강서구 강서로 27, 화곡 심포니 타워 2층 203호 (화곡동)","07778","사거리 노래바","2025-03-10 09:06:22","U","2024-12-02 23:04:00.0","룸살롱","186424.391650186","447580.544751681","","","","","","","","","","","","","","","","","","",""
"3010000","3010000-102-2004-00016","2004-11-12","","01","영업/정상","01","영업","","","","","0222695901","93.60","100-300","서울특별시 중구 초동 70-4 (지상3층)","서울특별시 중구 마른내로 42 (초동,(지상3층))","04555","마른42 (Marun42)","2025-03-12 14:33:34","U","2024-12-02 23:04:00.0","기타","199263.803751308","451326.721167275","","","","","","","","","","","","","","","","","","",""
"3210000","3210000-102-1990-06487","1990-04-20","","01","영업/정상","01","영업","","","","","02592 5444","1019.25","137-856","서울특별시 서초구 서초동 1308-4 실버타운오피스텔 지하중1층, 지하1","서울특별시 서초구 서초대로77길 45, 지하중1층, 지하1층 (서초동)","06612","토요일 토요일은 가요다","2025-03-12 16:48:27","U","2024-12-02 23:04:00.0","고고(디스코)클럽","202123.769148202","444374.640776733","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-2009-00004","2009-02-24","","01","영업/정상","01","영업","","","","","","499.32","135-923","서울특별시 강남구 역삼동 735-32 지하1층","서울특별시 강남구 테헤란로20길 10 (역삼동,지하1층)","06235","에이원","2025-05-08 16:35:15","U","2024-12-04 23:00:00.0","룸살롱","202949.8531865","444097.855142963","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-2019-00004","2019-10-23","","01","영업/정상","01","영업","","","","","","87.48","157-910","서울특별시 강서구 화곡동 915-10 지하 1층","서울특별시 강서구 강서로7길 67, 지하 1층 (화곡동)","07776","루비","2025-03-24 09:26:57","U","2024-12-02 22:07:00.0","룸살롱","186140.563907889","447451.051464867","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-2009-00002","2009-02-16","","01","영업/정상","01","영업","","","","","5666651","760.23","135-934","서울특별시 강남구 역삼동 824-7 지하1층, 지상2층","서울특별시 강남구 테헤란로6길 10 (역삼동,지하1층, 지상2층)","06233","도깨비","2025-03-25 14:56:23","U","2024-12-02 22:07:00.0","룸살롱","202621.086862178","443960.250245403","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-2009-00003","2009-02-16","","01","영업/정상","01","영업","","","","","02  558 5835","321.99","135-934","서울특별시 강남구 역삼동 824-7 지상3층","서울특별시 강남구 테헤란로6길 10 (역삼동,지상3층)","06233","도깨비","2025-03-25 15:01:05","U","2024-12-02 22:07:00.0","룸살롱","202621.086862178","443960.250245403","","","","","","","","","","","","","","","","","","",""
"3200000","3200000-102-2001-10867","2001-04-07","","01","영업/정상","01","영업","","","","","02 8745637","66.81","151-892","서울특별시 관악구 신림동 1433-109","서울특별시 관악구 신림로65길 47 (신림동)","08759","피아노","2025-03-25 16:22:44","U","2024-12-02 22:07:00.0","룸살롱","193465.706143733","442500.71073096","","","","","","","","","","","","","","","","","","",""
"3200000","3200000-102-2016-00005","2016-09-05","","01","영업/정상","01","영업","","","","","02 8827331","53.44","151-930","서울특별시 관악구 신림동 1641-11 지하1층","서울특별시 관악구 신림로 322-3 (신림동)","08777","라운딩","2025-03-31 15:25:38","U","2024-12-04 00:02:00.0","룸살롱","193758.672607098","442324.492040958","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-2015-00002","2015-10-05","","01","영업/정상","01","영업","","","","","","97.00","157-910","서울특별시 강서구 화곡동 936-4 지하 1층","서울특별시 강서구 강서로7길 136, 지하 1층 (화곡동)","07775","명품노래바","2025-03-31 10:22:00","U","2024-12-04 00:02:00.0","룸살롱","185799.527128936","447417.889884789","","","","","","","","","","","","","","","","","","",""
"3230000","3230000-102-2012-00002","2012-12-05","","01","영업/정상","01","영업","","","","","4305612","44.45","138-805","서울특별시 송파구 가락동 98-7 (지하1층)","서울특별시 송파구 송파대로28길 13 (가락동,(지하1층))","05719","거북이 유흥주점","2025-04-16 15:12:16","U","2024-12-03 23:08:00.0","룸살롱","210491.321883503","443569.763243482","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-2023-00005","2023-05-19","","01","영업/정상","01","영업","","","","","","85.50","157-910","서울특별시 강서구 화곡동 936-3 골든빌딩 4층","서울특별시 강서구 곰달래로16길 26, 골든빌딩 4층 (화곡동)","07775","콜미노래타운","2025-04-18 14:38:47","U","2024-12-03 22:00:00.0","룸살롱","185799.419613729","447429.674761034","","","","","","","","","","","","","","","","","","",""
"3210000","3210000-102-1992-06376","1992-01-30","","01","영업/정상","01","영업","","","","","02587 8883","440.48","137-858","서울특별시 서초구 서초동 1330-15","서울특별시 서초구 서초대로78길 46 (서초동)","06626","B11 (비일일)","2025-03-05 16:05:53","U","2024-12-03 00:07:00.0","룸살롱","202453.713468162","443491.20087926","","","","","","","","","","","","","","","","","","",""
"3180000","3180000-102-2001-14141","2001-12-22","","01","영업/정상","01","영업","","","","","26788126","91.35","150-033","서울특별시 영등포구 영등포동3가 13-13","서울특별시 영등포구 영등포로50길 7-1, 지하1층 (영등포동3가)","07303","열창노래광","2025-04-21 11:05:36","U","2024-12-03 22:03:00.0","룸살롱","191923.852141333","446217.529962367","","","","","","","","","","","","","","","","","","",""
"3220000","3220000-102-2016-00006","2016-09-01","","01","영업/정상","01","영업","","","","","","502.65","135-513","서울특별시 강남구 역삼동 701-1 역삼 아르누보씨티 ","서울특별시 강남구 언주로 506, 역삼 아르누보씨티 지하1층 101호 (역삼동)","06152","더","2023-03-22 15:49:54","U","2023-03-24 02:40:00.0","룸살롱","203716.938085702    ","444579.034008591    ","룸살롱","0","0","","","","0","0","0","0","0","","0","0","N","502.65","","",""
"3190000","3190000-102-2017-00001","2017-08-04","","03","폐업","02","폐업","2025-03-06","","","","02586 1068","183.99","156-816","서울특별시 동작구 사당동 147-48","서울특별시 동작구 사당로 308, 지하1층 (사당동)","","놀이터","2025-03-06 16:47:42","U","2024-12-03 00:08:00.0","노래클럽","198296.909027397","442527.882920555","","","","","","","","","","","","","","","","","","",""
"3200000","3200000-102-2002-00015","2002-10-24","","01","영업/정상","01","영업","","","","","02 877 1320","81.54","151-809","서울특별시 관악구 봉천동 62-3 지하 1층","서울특별시 관악구 관악로 206 (봉천동,지하 1층)","08737","도레미노래뱅크","2025-03-06 14:29:48","U","2024-12-03 00:08:00.0","룸살롱","195907.768174812","442331.416801412","","","","","","","","","","","","","","","","","","",""
"3200000","3200000-102-2001-11339","2001-11-01","","01","영업/정상","01","영업","","","","","02  877 0166","71.86","151-892","서울특별시 관악구 신림동 1431-10 화산빌딩","서울특별시 관악구 신림로 363-1, 화산빌딩 지하1층 (신림동)","08760","레몬노래빠","2025-03-06 14:21:25","U","2024-12-03 00:08:00.0","룸살롱","193646.560679034","442722.612162982","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-102-1999-10594","1999-05-15","","01","영업/정상","01","영업","","","","","02 4872184","360.07","134-814","서울특별시 강동구 길동 412-12 부에노빌딩","서울특별시 강동구 양재대로 1457, 부에노빌딩 2층 (길동)","05353","무지개","2025-03-06 11:12:33","U","2024-12-03 00:08:00.0","룸살롱","212215.378259229","448196.85466049","","","","","","","","","","","","","","","","","","",""
"3240000","3240000-102-1990-05556","1990-05-22","","01","영업/정상","01","영업","","","","","02 4864214","284.35","134-845","서울특별시 강동구 성내동 417-5","서울특별시 강동구 풍성로 210 (성내동)","05404","발리7080라이브","2025-03-06 14:38:42","U","2024-12-03 00:08:00.0","비어(바)살롱","211855.041782136","447431.586848941","","","","","","","","","","","","","","","","","","",""
"3120000","3120000-102-2011-00001","2011-05-11","","01","영업/정상","01","영업","","","","","02  354 6979","233.85","120-833","서울특별시 서대문구 창천동 29-30 용성빌딩 4층 전체 외 1필지(29-111)","서울특별시 서대문구 연세로4길 12, 용성빌딩 4층 (창천동)","03779","연인노래타운","2025-03-19 15:10:23","U","2024-12-02 22:02:00.0","기타","194441.065804256","450526.865252968","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-102-2023-00001","2023-03-07","","01","영업/정상","01","영업","","","","","","94.22","157-909","서울특별시 강서구 화곡동 902-10 2층","서울특별시 강서구 강서로7길 19, 2층 (화곡동)","07777","휴노래바","2025-04-21 11:37:00","U","2024-12-03 22:03:00.0","룸살롱","186380.634607259","447481.210076355","","","","","","","","","","","","","","","","","","",""
"3110000","3110000-102-2018-00002","2018-02-01","","01","영업/정상","01","영업","","","","","","70.78","122-808","서울특별시 은평구 갈현동 395-15 지하1층","서울특별시 은평구 통일로 863-20, 지하1층 (갈현동)","03330","썸노래밤","2025-04-24 15:23:17","U","2024-12-03 22:06:00.0","룸살롱","192821.213440191","457558.008035866","","","","","","","","","","","","","","","","","","",""
