"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수","유초등부-유-순회 학급수","유초등부-유-순회 학생수","유초등부-유-순회 학급당 학생수","유초등부-초-순회 학급수","유초등부-초-순회 학생수","유초등부-초-순회 학급당 학생수","유초등부 학급수(계)","유초등부 학생수(계)","유초등부 학급당 학생수(계)","중등부-2학년 학급수","중등부-2학년 학생수","중등부-2학년 학급당 학생수","중등부-3학년 학급수","중등부-3학년 학생수","중등부-3학년 학급당 학생수","중등부-순회 학급수","중등부-순회 학생수","중등부-순회 학급당 학생수","중등부 학급수(계)","중등부 학생수(계)","중등부 학급당 학생수(계)","고등부-1학년 학급수","고등부-1학년 학생수","고등부-1학년 학급당 학생수","고등부-2학년 학급수","고등부-2학년 학생수","고등부-2학년 학급당 학생수","고등부-3학년 학급수","고등부-3학년 학생수","고등부-3학년 학급당 학생수","고등부-순회 학급수","고등부-순회 학생수","고등부-순회 학급당 학생수","고등부 학급수(계)","고등부 학생수(계)","고등부 학급당 학생수(계)","전공과 학급수","전공과 학생수","전공과 학급당 학생수","총계 학급수","총계 학생수","총계 학급당 학생수","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","A000000001","교육부","A000000001","서울특별시 서초구","1165010800","01","S000003511","서울교육대학교부설초등학교","02","국립","N","","4","95","23.8","4","96","24","4","95","23.8","5","103","20.6","5","107","21.4","5","110","22","1","5","5","0","0","0","28","611","21.8","31","19.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","A000000001","교육부","A000000001","서울특별시 종로구","1111016800","01","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","5","98","19.6","5","102","20.4","5","105","21","5","103","20.6","5","104","20.8","5","105","21","1","4","4","0","0","0","31","621","20","38","16.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000738","서울개일초등학교","02","공립","N","","5","157","31.4","5","164","32.8","5","175","35","6","179","29.8","6","177","29.5","5","152","30.4","0","0","0","0","0","0","32","1004","31.4","36","27.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000741","서울구룡초등학교","02","공립","N","","5","121","24.2","5","107","21.4","5","122","24.4","5","129","25.8","5","128","25.6","5","119","23.8","1","7","7","0","0","0","31","733","23.6","33","22.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010800","01","S010000742","서울논현초등학교","02","공립","N","","3","52","17.3","2","36","18","3","48","16","2","47","23.5","2","51","25.5","2","47","23.5","2","9","4.5","0","0","0","16","290","18.1","19","15.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010600","01","S010000743","서울대곡초등학교","02","공립","N","","5","116","23.2","7","180","25.7","7","197","28.1","8","212","26.5","10","251","25.1","10","262","26.2","1","3","3","0","0","0","48","1221","25.4","57","21.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011800","01","S010000744","서울대도초등학교","02","공립","N","","8","260","32.5","9","304","33.8","11","378","34.4","11","372","33.8","11","397","36.1","12","418","34.8","0","0","0","0","0","0","62","2129","34.3","76","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011400","01","S010000745","서울대모초등학교","02","공립","N","","5","135","27","5","145","29","5","147","29.4","6","189","31.5","6","185","30.8","6","190","31.7","0","0","0","0","0","0","33","991","30","41","24.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011100","01","S010000746","서울대왕초등학교","02","공립","N","","4","96","24","4","102","25.5","5","103","20.6","6","140","23.3","8","162","20.3","7","146","20.9","2","5","2.5","0","0","0","36","754","20.9","44","17.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000747","서울대진초등학교","02","공립","N","","2","42","21","3","55","18.3","2","49","24.5","3","53","17.7","2","34","17","3","47","15.7","2","6","3","0","0","0","17","286","16.8","19","15.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021"
